"name","rfid","equipment_type","asset_cost","rental_cost","location","purchased","notes"
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-9412-AS#-9412-JERSEY TRAILER","8230 0000 0000 0000 0006 7422","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-NONE-AS#-0500-QUEENS WHSE","8230 0000 0000 0000 0006 7885","Air Scrubber","$819.00","$0","","",""
"DRIEAZ-1200 LGR-SN#-05664-AN#-5664-MEDFORD WHSE","8230 0000 0000 0000 0006 6292","Dehumidifier","$1200.00","$0","","",""
"DRIEAZ-1200 LGR-SN#-05829-AN#-5829-MEDFORD WHSE","8230 0000 0000 0000 0006 6294","Dehumidifier","$1200.00","$0","","",""
"DRIEAZ-1200 LGR-SN#-06291-AN#-6291-MEDFORD WHSE","8230 0000 0000 0000 0006 6291","Dehumidifier","$1200.00","$0","","",""
"DRIEAZ-1200 LGR-SN#-08297-AN#-8297-MEDFORD WHSE","8230 0000 0000 0000 0006 6290","Dehumidifier","$1200.00","$0","","",""
"DRIEAZ-1200 LGR-SN#-11333-AN#-1333-MEDFORD WHSE","8230 0000 0000 0000 0006 6295","Dehumidifier","$1200.00","$0","","",""
"DRIEAZ-1200 LGR-SN#-11389-AN#-1389-MEDFORD WHSE","8230 0000 0000 0000 0006 6289","Dehumidifier","$1200.00","$0","","",""
"DRIEAZ-1200 LGR-SN#-41305-AN#-7400-MEDFORD WHSE","8230 0000 0000 0000 0006 7400","Dehumidifier","$1200.00","$0","","",""
"DRIEAZ-1200 LGR-SN#-XX286-AN#-286-MEDFORD WHSE","8230 0000 0000 0000 0006 6288","Dehumidifier","$1200.00","$0","","",""
"DRIEAZ-2000 LGR-SN#-02444-AN#-2444-MEDFORD WHSE","8230 0000 0000 0000 0006 6530","Dehumidifier","","$0","","",""
"DRIEAZ-2000 LGR-SN#-06538-AN#-6538-MEDFORD WHSE","8230 0000 0000 0000 0006 6529","Dehumidifier","","$0","","",""
"DRIEAZ-2000 LGR-SN#-07164-AN#-7164-MEDFORD WHSE","8230 0000 0000 0000 0006 6532","Dehumidifier","","$0","","",""
"DRIEAZ-2000 LGR-SN#-07233-AN#-7233-MEDFORD WHSE","8230 0000 0000 0000 0006 6531","Dehumidifier","","$0","","",""
"DRIEAZ-CXV FAN-SN#-02104-AS#-2104-DVJ WHSE","8230 0000 0000 0000 0006 7578","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02123-AS#-2123-JERSEY TRAILER","8230 0000 0000 0000 0006 7468","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02124-AN#-322-TRAILER 3","8230 0000 0000 0000 0006 6883","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02125-AN#-E519-MEDFORD WHSE","8230 0000 0000 0000 0006 6457","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02565-AN#-576-TRAILER 3","8230 0000 0000 0000 0006 6921","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02570-AS#-306-TRAILER 3","8230 0000 0000 0000 0006 6935","Air Mover","$439.00","$0","","","Notes"
"DRIEAZ-CXV FAN-SN#-02572-AS#-2572-QUEENS WHSE","8230 0000 0000 0000 0006 8013","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02577-AS#-2577-QUEENS WHSE","8230 0000 0000 0000 0006 8019","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02579-AS#-2579-JERSEY WHSE","8230 0000 0000 0000 0006 7792","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02580-AS#-450-QUEENS WHSE","8230 0000 0000 0000 0006 8011","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02582-AN#-344-TRAILER 3","8230 0000 0000 0000 0006 6887","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02592-AS#-2592-JERSEY TRAILER","8230 0000 0000 0000 0006 7532","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02596-AN#-466-TRAILER 3","8230 0000 0000 0000 0006 6884","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02598-AS#-2598-JERSEY WHSE","8230 0000 0000 0000 0006 7797","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02599-AS#-2599-JERSEY TRAILER","8230 0000 0000 0000 0006 7507","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02601-AS#-2601-JERSEY TRAILER","8230 0000 0000 0000 0006 7523","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02604-AN#-597-TRAILER 3","8230 0000 0000 0000 0006 7001","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02606-AS#-2606-DVJ WHSE","8230 0000 0000 0000 0006 7579","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02609-AS#-2609-JERSEY WHSE","8230 0000 0000 0000 0006 7804","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02615-AS#-2615-JERSEY TRAILER","8230 0000 0000 0000 0006 7501","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02621-AN#-B1050-TRAILER 3","8230 0000 0000 0000 0006 7009","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02622-AN#-364-TRAILER 3","8230 0000 0000 0000 0006 6920","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02624-AS#-2624-JERSEY TRAILER","8230 0000 0000 0000 0006 7469","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02626-AS#-2626-JERSEY WHSE","8230 0000 0000 0000 0006 7812","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02633-AS#-2633-JERSEY WHSE","8230 0000 0000 0000 0006 7798","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02634-AS#-2634-Medford Warehouse","8230 0000 0000 0000 0006 6552","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02639-AN#-E528-TRAILER 3","8230 0000 0000 0000 0006 6893","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02642-AN#-2642-MEDFORD WHSE","8230 0000 0000 0000 0006 6511","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02648-AN#-545-MEDFORD WHSE","8230 0000 0000 0000 0006 6484","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02659-AS#-2659-JERSEY TRAILER","8230 0000 0000 0000 0006 7518","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02663-AN#-325-TRAILER 3","8230 0000 0000 0000 0006 6901","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02670-AN#-491-TRAILER 3","8230 0000 0000 0000 0006 7014","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02671-AN#-349-TRAILER 3","8230 0000 0000 0000 0006 6987","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02678-AS#-2678-JERSEY WHSE","8230 0000 0000 0000 0006 7803","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02684-AN#-550-TRAILER 3","8230 0000 0000 0000 0006 6907","Air Mover","$439.00","$0","","",""
"DRIEAZ-CXV FAN-SN#-02690-AN#-324-TRAILER 3","8230 0000 0000 0000 0006 6993","Air Mover","$439.00","$0","","",""
